id,IBAN,BIC,typeCompte,solde,client
64899667fc13ae29a09009ab,SA29 10WT DPDP BOTQ GOOD JJWG,AGRIFRPP432,Compte courant,"€4938,62",64899251fc13ae2cc7900ed3
64899667fc13ae29a09009ac,BR69 4571 1433 0663 7589 3898 980W C,AGRIFRPP432,Compte professionnel,"€40129,24",64899251fc13ae2cc7900dc3
64899667fc13ae29a09009ad,ME41 3286 8675 3188 8841 55,SOGEFRPP890,Compte en ligne,"€7013,01",64899251fc13ae2cc7900ebc
64899667fc13ae29a09009ae,FR52 3112 4146 60DJ GPKJ DWJW 112,DEUTDEFF765,Compte en ligne,"€30854,36",64899252fc13ae2cc7900f60
64899667fc13ae29a09009af,FR02 1697 4001 18GB VXSV 13LB J13,BNPAFRPP567,Compte joint,"€29343,62",64899252fc13ae2cc7900f38
64899667fc13ae29a09009b0,AL32 2821 1955 MYFX AYJI HVNW BICE,UNCRITMMDDD,Compte d'épargne,"€21996,66",64899251fc13ae2cc7900d97
64899667fc13ae29a09009b1,FR60 3089 3616 18SH PIPF RAC6 E70,DEUTDEFF765,Compte à terme,"€18714,40",64899251fc13ae2cc7900e05
64899667fc13ae29a09009b2,PS24 YZKD B4VG G4SS HIGA OSEA JZX2 N,UBSWCHZHFFF,Compte d'épargne,"€3365,35",64899252fc13ae2cc7900f8b
64899667fc13ae29a09009b3,IS47 3141 1706 7220 3440 7055 76,UBSWCHZHFFF,Compte courant,"€7127,63",64899251fc13ae2cc7900d9f
64899667fc13ae29a09009b4,AL23 4509 0195 FIPZ JN0Q JWWD EQZS,GENXFRPP234,Compte chèque,"€40301,64",64899251fc13ae2cc7900db1
64899667fc13ae29a09009b5,GI70 SZXM RU16 RCDA SMVV OH8,UNCRITMMDDD,Compte à terme,"€15151,62",64899251fc13ae2cc7900dc6
64899667fc13ae29a09009b6,LI69 6504 6FYE DJTQ UUH8 K,AGRIFRPP432,Compte en ligne,"€30737,33",64899251fc13ae2cc7900e47
64899667fc13ae29a09009b7,AZ88 CGAH EAPQ PHJU 21LO DZ3B FIJT,CITIUS33HHH,Compte chèque,"€9953,22",64899252fc13ae2cc7900f26
64899667fc13ae29a09009b8,BA66 2353 1139 8812 7312,BARCGB22AAA,Compte offshore,"€27531,18",64899251fc13ae2cc7900e72
64899667fc13ae29a09009b9,AL62 9425 8030 ZBB9 TOPU EEHF CQZP,BARCGB22AAA,Compte à terme,"€7543,60",64899252fc13ae2cc7900fc0
64899667fc13ae29a09009ba,LB25 1966 E5X4 8U37 MCFL XJBE RMSD,CITIUS33HHH,Compte offshore,"€40780,95",64899252fc13ae2cc7900fce
64899667fc13ae29a09009bb,ES83 0308 2900 2809 2231 2177,BNPAFRPP456,Compte en ligne,"€27864,99",64899251fc13ae2cc7900e42
64899667fc13ae29a09009bc,BE53 6226 5707 8695,UNCRITMMDDD,Compte offshore,"€2617,35",64899251fc13ae2cc7900e3d
64899667fc13ae29a09009bd,CY08 9464 2649 LHZR QUGY R5TI HC4E,BSCHESMMCCC,Compte joint,"€34600,60",64899251fc13ae2cc7900e61
64899667fc13ae29a09009be,PT81 2111 7525 0572 0447 4426 8,SOGEFRPP789,Compte professionnel,"€31201,36",64899251fc13ae2cc7900e9a
64899667fc13ae29a09009bf,LB56 5423 VYA9 AX0Q WQD0 VZMA UYWO,BSCHESMMCCC,Compte chèque,"€22264,88",64899252fc13ae2cc790106f
64899667fc13ae29a09009c0,AZ94 GJPG 1XQ6 QGKY H8KK AMZ7 D3PQ,BARCGB22AAA,Compte chèque,"€36627,69",64899251fc13ae2cc7900cd2
64899667fc13ae29a09009c1,SA22 524D PCSV 8RXS P5WD AGM1,BNPAFRPP567,Compte professionnel,"€10801,89",64899252fc13ae2cc7900f6b
64899667fc13ae29a09009c2,NL34 OZDI 3154 4236 57,UNCRITMMDDD,Compte de retraite,"€1649,60",64899251fc13ae2cc7900dd0
64899667fc13ae29a09009c3,LI28 0960 9HCZ LENP GMI0 U,SOGEFRPP789,Compte chèque,"€28183,95",64899251fc13ae2cc7900cce
64899667fc13ae29a09009c4,LB19 7232 UYVL 8CST LEDS BKNW GIMC,CITIUS33BBB,Compte en ligne,"€23577,17",64899252fc13ae2cc7900fcc
64899667fc13ae29a09009c5,BR95 9175 6974 1600 2649 4577 777P L,CITIUS33HHH,Compte à terme,"€29663,71",64899251fc13ae2cc7900d0c
64899667fc13ae29a09009c6,RS86 3660 8423 0974 2849 59,BSCHESMMCCC,Compte d'épargne,"€46472,83",64899252fc13ae2cc790104a
64899667fc13ae29a09009c7,BE38 1835 7468 7929,BARCGB22AAA,Compte d'épargne,"€23714,63",64899252fc13ae2cc7900f73
64899667fc13ae29a09009c8,BR48 0504 4850 7514 3125 3483 132K D,BARCGB22GGG,Compte offshore,"€3840,11",64899252fc13ae2cc7900fee
64899667fc13ae29a09009c9,IE30 MMCZ 0555 2442 6717 38,DEUTDEFF654,Compte joint,"€8577,69",64899252fc13ae2cc7901037
64899667fc13ae29a09009ca,CH48 3949 6ONK SIYN ML0Y B,UNCRITMMDDD,Compte d'épargne,"€47093,12",64899251fc13ae2cc7900d48
64899667fc13ae29a09009cb,AL98 4927 4177 HA2L WIY9 HVQS BJ9A,BARCGB22GGG,Compte d'épargne,"€26960,42",64899251fc13ae2cc7900e5e
64899667fc13ae29a09009cc,MT88 SGWC 2090 4D7Z DFRA OJPR BJ3J AEA,AGRIFRPP321,Compte d'épargne,"€16337,45",64899251fc13ae2cc7900d87
64899667fc13ae29a09009cd,LT94 3971 2562 2176 1195,UNCRITMMDDD,Compte à terme,"€5011,74",64899252fc13ae2cc7900f47
64899667fc13ae29a09009ce,MT78 ZCHZ 0467 5F9S 0MWN L49V 0KMQ D60,SOGEFRPP890,Compte courant,"€1409,56",64899251fc13ae2cc7900e53
64899667fc13ae29a09009cf,DE97 5496 7614 8020 9544 89,DEUTDEFF654,Compte joint,"€47461,26",64899251fc13ae2cc7900e72
64899667fc13ae29a09009d0,FR18 2602 6118 12Z6 DCQT FQMF E77,AGRIFRPP321,Compte à terme,"€26442,72",64899252fc13ae2cc7900f2c
64899667fc13ae29a09009d1,ME37 2939 3058 5548 0838 94,GENXFRPP123,Compte joint,"€46223,51",64899252fc13ae2cc7900f59
64899667fc13ae29a09009d2,DO18 HJLM 3284 2960 9010 6290 2952,HSBCHKHHEEE,Compte joint,"€159,77",64899251fc13ae2cc7900cf8
